par,val
rho_KSE/SSEC,0.0806094528363041
rho_KSE/SSMI,0.03215822925300058
rho_KSE/STOXX50E,-0.004665161181540961
rho_MXX/N225,0.4438437458769886
rho_MXX/NSEI,0.4705063305617533
rho_MXX/RUT,0.7125430545423233
rho_MXX/SPX,0.6480671301528625
rho_MXX/SSEC,0.2919908830812817
rho_MXX/SSMI,0.5378015470549696
rho_MXX/STOXX50E,0.5126458472791948
rho_N225/NSEI,0.4035784391322755
rho_N225/RUT,0.394605435638089
rho_N225/SPX,0.6916638049047668
rho_N225/SSEC,0.18193648348866598
rho_N225/SSMI,0.6845684363081412
rho_N225/STOXX50E,0.6512487412653439
rho_NSEI/RUT,0.5622305514026738
rho_NSEI/SPX,0.45623446017352365
rho_NSEI/SSEC,0.5334805840593533
rho_NSEI/SSMI,0.45903401692266405
rho_NSEI/STOXX50E,0.35377801452256513
rho_RUT/SPX,0.7172330623005763
rho_RUT/SSEC,0.3193993759323609
rho_RUT/SSMI,0.6287885144768857
rho_RUT/STOXX50E,0.6247052380227063
rho_SPX/SSEC,0.25755767328394796
rho_SPX/SSMI,0.8518303626780573
rho_SPX/STOXX50E,0.8727033879045736
rho_SSEC/SSMI,0.33350803413810437
rho_SSEC/STOXX50E,0.2413637780286088
rho_SSMI/STOXX50E,0.9207323677038552
