par,v0,val
rho_FTSE/SPX,0.3424266849501109,0.8885516926031848
rho_FTSE/SSEC,0.07179541358775458,0.3254912884217813
rho_FTSE/SSMI,0.4204347430897401,0.9265876644156258
rho_FTSE/STOXX50E,0.6033081048745569,0.9259949999661305
rho_GDAXI/HSI,0.1328999258813591,0.6346723500471578
rho_GDAXI/IBEX,0.6079908126714553,0.7603343156975432
rho_GDAXI/IXIC,0.34087804582176356,0.8021801708517937
rho_GDAXI/KS11,0.10748543134668884,0.6321219446517354
rho_GDAXI/KSE,-0.031315046800649046,0.06957438712111137
rho_GDAXI/MXX,0.2349182821698478,0.456882889981094
rho_GDAXI/N225,0.15383525052531422,0.662953781551086
rho_GDAXI/NSEI,0.10122038424644293,0.41690735111192345
rho_GDAXI/RUT,0.2148719408816192,0.4865171708336832
rho_GDAXI/SPX,0.3639825701593691,0.8655920120941459
rho_GDAXI/SSEC,0.05843519569001352,0.20893148951241597
rho_GDAXI/SSMI,0.6272945597890672,0.8886151417031063
rho_GDAXI/STOXX50E,0.7194709154620794,0.971553862393472
rho_HSI/IBEX,0.12167312155610605,0.4853549893078919
rho_HSI/IXIC,0.046780797255734835,0.7238871139911739
rho_HSI/KS11,0.2626306342824643,0.6795607116168437
rho_HSI/KSE,0.037429469531388794,0.016168924252089042
rho_HSI/MXX,0.05961003198570289,0.6079946820733297
rho_HSI/N225,0.23631294915916087,0.5600712078733461
rho_HSI/NSEI,0.12227639746966033,0.5122085583018446
rho_HSI/RUT,0.06644191798951658,0.5212687277171566
rho_HSI/SPX,0.0888586363896462,0.7075909863784162
rho_HSI/SSEC,0.26202795114056027,0.35454737450330664
rho_HSI/SSMI,0.12129150272565681,0.6147269629432551
rho_HSI/STOXX50E,0.14129159489435386,0.5798294206779667
rho_IBEX/IXIC,0.30767659304351974,0.5918951134167313
rho_IBEX/KS11,0.10932921328425509,0.2819635478062868
rho_IBEX/KSE,-7.61595274190064e-4,-0.12431453518032953
rho_IBEX/MXX,0.19548157648618636,0.5170288604188095
rho_IBEX/N225,0.13508709936335497,0.5072995074274662
rho_IBEX/NSEI,0.11074960842541412,0.24201038600840746
rho_IBEX/RUT,0.19251859989283465,0.596267887280165
rho_IBEX/SPX,0.3160997476962318,0.713565435734717
rho_IBEX/SSEC,0.040877990059114584,0.1665294899570754
rho_IBEX/SSMI,0.5553838609287421,0.7449311914282085
rho_IBEX/STOXX50E,0.5787938356722915,0.8679819447580968
rho_IXIC/KS11,0.0509118234485987,0.6995176889825523
rho_IXIC/KSE,0.0033184397686917395,0.16044105563442412
rho_IXIC/MXX,0.24181173760078276,0.5859639582392032
rho_IXIC/N225,0.05976992608421282,0.655035267038923
rho_IXIC/NSEI,0.02558141990409859,0.3522518611771242
rho_IXIC/RUT,0.6633548206416958,0.5733967555808167
rho_IXIC/SPX,0.7167814013586575,0.9132281717766878
rho_IXIC/SSEC,0.02617530105026531,0.10761841540534355
rho_IXIC/SSMI,0.3018408894184397,0.7184818552312203
rho_IXIC/STOXX50E,0.31563216216265494,0.7586939784613618
rho_KS11/KSE,0.015410864842133217,0.25644423873312416
rho_KS11/MXX,0.06375098811679353,0.40782056084528767
rho_KS11/N225,0.2562421142158049,0.5710998791568366
rho_KS11/NSEI,0.08239724916979145,0.44614074760767375
rho_KS11/RUT,0.03160610917679221,0.2893897794541606
rho_KS11/SPX,0.08602247496349195,0.6609509531068474
rho_KS11/SSEC,0.1169408322991704,0.16996408733650062
rho_KS11/SSMI,0.12659601179894517,0.5485001224307056
rho_KS11/STOXX50E,0.09454670640618046,0.5143854382877796
rho_KSE/MXX,0.014263909662794737,0.05211638913666176
rho_KSE/N225,-0.018982008919393126,0.0398431219604573
rho_KSE/NSEI,-0.004962614363723513,0.2271069107607485
rho_KSE/RUT,-9.981541831624522e-4,0.008995823585640347
rho_KSE/SPX,0.014178269956414821,0.11333301287804275
rho_KSE/SSEC,-0.006332133565143425,0.10377034691175756
rho_KSE/SSMI,6.74041502958805e-4,0.04260779605595348
